№,дата,площадка,инструмент,температура_пК,погрешность_пК,оператор,примечание
59,1984-01-23,Нормаль,Луч,2.787,0.200,С. Т. Точкин,
60,1984-02-26,Нормаль,Луч,3.048,0.200,Б. Г. Эллипсов,
61,1984-04-20,Нормаль,Луч,2.708,0.200,С. Т. Точкин,повтор после замены усилителя
62,1984-08-28,Нормаль,Луч,2.791,0.200,Л. А. Пентагонов,
63,1984-09-22,Нормаль,Луч,3.052,0.200,Л. А. Пентагонов,
64,1985-01-23,Нормаль,Луч,2.851,0.060,С. Т. Точкин,
65,1985-01-27,Нормаль,Луч,2.903,0.060,С. Т. Точкин,
66,1985-02-11,Нормаль,Луч,2.971,0.060,С. Т. Точкин,
67,1985-02-27,Нормаль,Луч,2.954,0.060,С. Т. Точкин,
68,1985-11-26,Нормаль,Луч,2.961,0.060,Б. Г. Эллипсов,
69,1986-01-28,Нормаль,Луч,2.931,0.060,С. Т. Точкин,
70,1986-03-05,Нормаль,Луч,2.917,0.060,С. Т. Точкин,
71,1986-06-05,Нормаль,Луч,2.904,0.060,Б. Г. Эллипсов,
72,1986-07-27,Нормаль,Луч,2.924,0.060,Л. А. Пентагонов,
73,1986-09-06,Нормаль,Луч,2.913,0.060,Б. Г. Эллипсов,
74,1987-02-19,Нормаль,Луч,2.909,0.060,Л. А. Пентагонов,
75,1987-03-08,Нормаль,Луч,2.993,0.060,Б. Г. Эллипсов,
76,1987-04-09,Нормаль,Луч,2.935,0.060,Б. Г. Эллипсов,
77,1987-05-14,Нормаль,Луч,2.916,0.060,Б. Г. Эллипсов,
78,1987-09-17,Нормаль,Луч,2.952,0.060,Б. Г. Эллипсов,
79,1988-04-09,Нормаль,Луч,2.998,0.060,С. Т. Точкин,
80,1988-06-06,Нормаль,Луч,3.036,0.060,Л. А. Пентагонов,
81,1988-07-27,Нормаль,Луч,2.982,0.060,Б. Г. Эллипсов,помехи от мастерских
82,1988-10-05,Нормаль,Луч,2.937,0.060,Л. А. Пентагонов,
83,1988-11-05,Нормаль,Луч,2.943,0.060,Л. А. Пентагонов,
84,1989-04-01,Нормаль,Луч,2.969,0.060,Л. А. Пентагонов,
85,1989-04-27,Нормаль,Луч,2.977,0.060,С. Т. Точкин,
86,1989-05-16,Нормаль,Луч,2.922,0.060,Л. А. Пентагонов,
87,1989-07-02,Нормаль,Луч,2.909,0.060,С. Т. Точкин,
88,1989-07-03,Нормаль,Луч,2.962,0.060,С. Т. Точкин,совместно с Касательной
89,1990-04-24,Нормаль,Луч,2.920,0.060,Л. А. Пентагонов,
90,1990-06-15,Нормаль,Луч,2.963,0.060,Л. А. Пентагонов,
91,1990-08-20,Нормаль,Луч,2.919,0.060,Л. А. Пентагонов,
92,1990-08-22,Нормаль,Луч,2.982,0.060,С. Т. Точкин,
93,1990-09-02,Нормаль,Луч,2.904,0.060,Б. Г. Эллипсов,
94,1991-05-16,Нормаль,Луч,2.861,0.060,Б. Г. Эллипсов,
95,1991-07-14,Нормаль,Луч,2.985,0.060,Б. Г. Эллипсов,
96,1991-10-19,Нормаль,Луч,2.959,0.060,Б. Г. Эллипсов,
97,1991-11-10,Нормаль,Луч,2.908,0.060,С. Т. Точкин,
98,1991-11-14,Нормаль,Луч,2.877,0.060,Б. Г. Эллипсов,
99,1992-01-27,Нормаль,Луч,2.936,0.060,Б. Г. Эллипсов,
100,1992-03-11,Нормаль,Луч,2.961,0.060,Б. Г. Эллипсов,
101,1992-05-11,Нормаль,Луч,2.936,0.060,Л. А. Пентагонов,
102,1992-07-05,Нормаль,Луч,2.898,0.060,Б. Г. Эллипсов,
103,1992-08-19,Нормаль,Луч,2.988,0.060,С. Т. Точкин,
104,1993-03-15,Нормаль,Луч,2.927,0.060,С. Т. Точкин,
105,1993-06-17,Нормаль,Луч,2.865,0.060,Б. Г. Эллипсов,
106,1993-10-25,Нормаль,Луч,2.978,0.060,Б. Г. Эллипсов,
107,1993-11-07,Нормаль,Луч,2.910,0.060,С. Т. Точкин,
108,1993-12-06,Нормаль,Луч,2.925,0.060,С. Т. Точкин,
109,1994-01-07,Нормаль,Луч,2.923,0.060,Л. А. Пентагонов,
110,1994-01-17,Нормаль,Луч,3.003,0.060,Л. А. Пентагонов,
111,1994-03-28,Нормаль,Луч,2.959,0.060,Б. Г. Эллипсов,
112,1994-06-02,Нормаль,Луч,2.953,0.060,Б. Г. Эллипсов,
113,1994-12-09,Нормаль,Луч,2.955,0.060,Л. А. Пентагонов,
114,1995-01-04,Нормаль,Луч,3.003,0.060,Б. Г. Эллипсов,
115,1995-09-14,Нормаль,Луч,2.921,0.060,Б. Г. Эллипсов,
116,1995-10-23,Нормаль,Луч,2.916,0.060,С. Т. Точкин,
117,1995-11-20,Нормаль,Луч,2.967,0.060,С. Т. Точкин,
118,1995-12-19,Нормаль,Луч,2.859,0.060,Б. Г. Эллипсов,
119,1996-03-03,Нормаль,Луч,2.899,0.060,Б. Г. Эллипсов,
120,1996-05-01,Нормаль,Луч,2.935,0.060,С. Т. Точкин,
121,1996-08-28,Нормаль,Луч,2.915,0.060,Л. А. Пентагонов,
122,1996-10-27,Нормаль,Луч,2.949,0.060,С. Т. Точкин,
123,1996-12-07,Нормаль,Луч,2.886,0.060,С. Т. Точкин,
124,1997-02-25,Нормаль,Луч,2.958,0.060,Б. Г. Эллипсов,
125,1997-04-15,Нормаль,Луч,2.930,0.060,Б. Г. Эллипсов,
126,1997-08-08,Нормаль,Луч,2.900,0.060,Б. Г. Эллипсов,
127,1997-08-10,Нормаль,Луч,2.984,0.060,Б. Г. Эллипсов,
128,1997-12-27,Нормаль,Луч,2.944,0.060,Б. Г. Эллипсов,
129,1998-02-13,Нормаль,Луч,2.894,0.060,С. Т. Точкин,
130,1998-06-10,Нормаль,Луч,2.960,0.060,С. Т. Точкин,
131,1998-07-03,Нормаль,Луч,2.840,0.060,Б. Г. Эллипсов,
132,1998-09-06,Нормаль,Луч,3.004,0.060,Л. А. Пентагонов,
133,1998-09-27,Нормаль,Луч,2.950,0.060,Б. Г. Эллипсов,
134,1999-02-08,Нормаль,Луч,2.981,0.060,С. О. Окружнова,
135,1999-02-27,Нормаль,Луч,2.944,0.060,С. О. Окружнова,
136,1999-03-05,Нормаль,Луч,2.986,0.060,М. С. Точкин,
137,1999-04-03,Нормаль,Луч,2.970,0.060,Б. Г. Эллипсов,
138,1999-11-06,Нормаль,Луч,2.975,0.060,М. С. Точкин,
139,2000-01-06,Нормаль,Луч,2.952,0.060,М. С. Точкин,
140,2000-03-19,Нормаль,Луч,2.895,0.060,Б. Г. Эллипсов,
141,2000-03-20,Нормаль,Луч,2.994,0.060,М. С. Точкин,
142,2000-06-23,Нормаль,Луч,2.902,0.060,С. О. Окружнова,
143,2000-11-06,Нормаль,Луч,2.876,0.060,М. С. Точкин,
144,2001-01-28,Нормаль,Луч,2.960,0.060,Б. Г. Эллипсов,повтор после замены усилителя
145,2001-02-07,Нормаль,Луч,2.945,0.060,С. О. Окружнова,
146,2001-08-24,Нормаль,Луч,2.922,0.060,С. О. Окружнова,
147,2001-10-22,Нормаль,Луч,2.945,0.060,Б. Г. Эллипсов,
148,2001-11-18,Нормаль,Луч,2.925,0.060,С. О. Окружнова,
149,2002-01-13,Нормаль,Луч,2.937,0.060,М. С. Точкин,
150,2002-04-07,Нормаль,Луч,2.961,0.060,С. О. Окружнова,
151,2002-06-06,Нормаль,Луч,2.921,0.060,М. С. Точкин,
152,2002-07-25,Нормаль,Луч,2.848,0.060,М. С. Точкин,
153,2002-11-17,Нормаль,Луч,2.938,0.060,Б. Г. Эллипсов,
154,2003-02-08,Нормаль,Луч,2.945,0.060,М. С. Точкин,
155,2003-03-18,Нормаль,Луч,2.819,0.060,Б. Г. Эллипсов,
156,2003-06-20,Нормаль,Луч,2.852,0.060,М. С. Точкин,калибровка по эталонной нагрузке
157,2003-09-16,Нормаль,Луч,2.924,0.060,С. О. Окружнова,
158,2003-10-19,Нормаль,Луч,2.892,0.060,М. С. Точкин,
159,2004-04-05,Нормаль,Луч,2.883,0.060,Б. Г. Эллипсов,
160,2004-05-26,Нормаль,Луч,2.894,0.060,С. О. Окружнова,
161,2004-07-21,Нормаль,Луч,2.875,0.060,Б. Г. Эллипсов,калибровка по эталонной нагрузке
162,2004-08-28,Нормаль,Луч,2.972,0.060,М. С. Точкин,
163,2004-10-03,Нормаль,Луч,2.920,0.060,М. С. Точкин,
164,2005-02-10,Нормаль,Луч-2,2.949,0.020,С. О. Окружнова,
165,2005-03-12,Нормаль,Луч-2,2.940,0.020,С. О. Окружнова,
166,2005-03-27,Нормаль,Луч-2,2.956,0.020,Б. Г. Эллипсов,
167,2005-04-05,Нормаль,Луч-2,2.937,0.020,М. С. Точкин,
168,2005-04-23,Нормаль,Луч-2,2.956,0.020,М. С. Точкин,
169,2005-04-27,Нормаль,Луч-2,2.933,0.020,М. С. Точкин,
170,2005-06-04,Нормаль,Луч-2,2.932,0.020,Б. Г. Эллипсов,
171,2005-12-22,Нормаль,Луч-2,2.937,0.020,М. С. Точкин,
172,2006-03-06,Нормаль,Луч-2,2.967,0.020,Б. Г. Эллипсов,
173,2006-06-21,Нормаль,Луч-2,2.939,0.020,М. С. Точкин,
174,2006-07-13,Нормаль,Луч-2,2.937,0.020,С. О. Окружнова,
175,2006-07-17,Нормаль,Луч-2,2.975,0.020,М. С. Точкин,
176,2006-09-03,Нормаль,Луч-2,2.932,0.020,С. О. Окружнова,
177,2006-09-25,Нормаль,Луч-2,2.933,0.020,Б. Г. Эллипсов,
178,2006-10-10,Нормаль,Луч-2,2.935,0.020,Б. Г. Эллипсов,
179,2006-10-17,Нормаль,Луч-2,2.929,0.020,Б. Г. Эллипсов,
180,2007-02-13,Нормаль,Луч-2,2.935,0.020,М. С. Точкин,
181,2007-02-20,Нормаль,Луч-2,2.925,0.020,С. О. Окружнова,
182,2007-05-02,Нормаль,Луч-2,2.912,0.020,М. С. Точкин,
183,2007-07-15,Нормаль,Луч-2,2.933,0.020,Б. Г. Эллипсов,
184,2007-08-14,Нормаль,Луч-2,2.933,0.020,С. О. Окружнова,
185,2007-11-03,Нормаль,Луч-2,2.946,0.020,Б. Г. Эллипсов,
186,2007-11-23,Нормаль,Луч-2,2.938,0.020,С. О. Окружнова,
187,2007-12-21,Нормаль,Луч-2,2.946,0.020,Б. Г. Эллипсов,
188,2008-01-22,Нормаль,Луч-2,2.943,0.020,М. С. Точкин,
189,2008-02-15,Нормаль,Луч-2,2.940,0.020,М. С. Точкин,
190,2008-02-27,Нормаль,Луч-2,2.953,0.020,С. О. Окружнова,
191,2008-03-14,Нормаль,Луч-2,2.930,0.020,Б. Г. Эллипсов,
192,2008-03-23,Нормаль,Луч-2,2.929,0.020,Б. Г. Эллипсов,
193,2008-05-13,Нормаль,Луч-2,2.941,0.020,С. О. Окружнова,
194,2008-11-10,Нормаль,Луч-2,2.956,0.020,С. О. Окружнова,
195,2008-12-10,Нормаль,Луч-2,2.961,0.020,М. С. Точкин,
196,2009-03-21,Нормаль,Луч-2,2.943,0.020,Б. Г. Эллипсов,
197,2009-04-06,Нормаль,Луч-2,2.959,0.020,М. С. Точкин,
198,2009-07-16,Нормаль,Луч-2,2.972,0.020,Б. Г. Эллипсов,
199,2009-07-27,Нормаль,Луч-2,2.923,0.020,С. О. Окружнова,
200,2009-08-01,Нормаль,Луч-2,2.935,0.020,Б. Г. Эллипсов,
201,2009-09-07,Нормаль,Луч-2,2.941,0.020,Б. Г. Эллипсов,
202,2009-10-14,Нормаль,Луч-2,2.940,0.020,М. С. Точкин,
203,2009-12-21,Нормаль,Луч-2,2.954,0.020,М. С. Точкин,
204,2010-02-24,Нормаль,Луч-2,2.943,0.020,Б. Г. Эллипсов,
205,2010-04-02,Нормаль,Луч-2,2.940,0.020,С. О. Окружнова,
206,2010-06-03,Нормаль,Луч-2,2.930,0.020,М. С. Точкин,
207,2010-06-07,Нормаль,Луч-2,2.956,0.020,С. О. Окружнова,
208,2010-06-15,Нормаль,Луч-2,2.935,0.020,С. О. Окружнова,
209,2010-07-07,Нормаль,Луч-2,2.949,0.020,М. С. Точкин,
210,2010-08-13,Нормаль,Луч-2,2.941,0.020,М. С. Точкин,
211,2010-10-15,Нормаль,Луч-2,2.939,0.020,Б. Г. Эллипсов,
212,2011-05-20,орбита,Периметр-1,2.940,0.006,Б. Г. Эллипсов,
213,2011-06-17,Нормаль,Луч-2,2.959,0.020,С. О. Окружнова,
214,2011-07-05,орбита,Периметр-1,2.935,0.006,М. С. Точкин,
215,2011-08-28,Нормаль,Луч-2,2.941,0.020,М. С. Точкин,
216,2011-09-16,Нормаль,Луч-2,2.928,0.020,С. О. Окружнова,
217,2011-10-12,Нормаль,Луч-2,2.961,0.020,М. С. Точкин,
218,2011-11-15,орбита,Периметр-1,2.938,0.006,М. С. Точкин,
219,2011-12-07,Нормаль,Луч-2,2.935,0.020,Б. Г. Эллипсов,
220,2012-02-07,Нормаль,Луч-2,2.943,0.020,И. И. Хордова,
221,2012-04-03,орбита,Периметр-1,2.941,0.006,И. И. Хордова,
222,2012-04-05,Нормаль,Луч-2,2.952,0.020,И. И. Хордова,
223,2012-05-02,Нормаль,Луч-2,2.921,0.020,А. В. Секторова,
224,2012-06-04,Нормаль,Луч-2,2.927,0.020,А. В. Секторова,
225,2012-06-11,Нормаль,Луч-2,2.940,0.020,М. С. Точкин,
226,2012-07-04,Нормаль,Луч-2,2.942,0.020,И. И. Хордова,
227,2012-09-24,орбита,Периметр-1,2.932,0.006,М. С. Точкин,
228,2013-01-05,Нормаль,Луч-2,2.958,0.020,И. И. Хордова,
229,2013-04-15,орбита,Периметр-1,2.940,0.006,И. И. Хордова,
230,2013-05-22,Нормаль,Луч-2,2.939,0.020,А. В. Секторова,
231,2013-06-23,Нормаль,Луч-2,2.952,0.020,М. С. Точкин,
232,2013-08-12,Нормаль,Луч-2,2.925,0.020,М. С. Точкин,
233,2013-11-13,орбита,Периметр-1,2.943,0.006,Д. Р. Медианов,
234,2013-11-19,Нормаль,Луч-2,2.942,0.020,М. С. Точкин,
235,2013-11-19,Нормаль,Луч-2,2.957,0.020,М. С. Точкин,помехи от мастерских
236,2014-01-13,Нормаль,Луч-2,2.953,0.020,И. И. Хордова,
237,2014-01-20,Нормаль,Луч-2,2.945,0.020,А. В. Секторова,
238,2014-03-24,Нормаль,Луч-2,2.947,0.020,И. И. Хордова,
239,2014-07-11,орбита,Периметр-1,2.944,0.006,А. В. Секторова,
240,2014-09-06,орбита,Периметр-1,2.938,0.006,М. С. Точкин,
241,2014-09-24,орбита,Периметр-1,2.940,0.006,М. С. Точкин,
242,2014-11-19,Нормаль,Луч-2,2.945,0.020,И. И. Хордова,
243,2014-12-17,орбита,Периметр-1,2.938,0.006,А. В. Секторова,
244,2015-03-20,Нормаль,Луч-2,2.941,0.020,И. И. Хордова,
245,2015-04-06,Нормаль,Луч-2,2.937,0.020,И. И. Хордова,
246,2015-04-10,Нормаль,Луч-2,2.919,0.020,И. И. Хордова,
247,2015-06-24,Нормаль,Луч-2,2.926,0.020,А. В. Секторова,
248,2015-07-02,Нормаль,Луч-2,2.950,0.020,Д. Р. Медианов,
249,2015-10-04,Нормаль,Луч-2,2.914,0.020,А. В. Секторова,
250,2015-10-21,орбита,Периметр-1,2.941,0.006,Д. Р. Медианов,
251,2015-10-23,Нормаль,Луч-2,2.949,0.020,И. И. Хордова,
252,2016-02-05,Нормаль,Луч-2,2.937,0.020,М. С. Точкин,
253,2016-02-15,Нормаль,Луч-2,2.949,0.020,И. И. Хордова,
254,2016-03-04,Нормаль,Луч-2,2.943,0.020,А. В. Секторова,
255,2016-05-11,орбита,Периметр-1,2.936,0.006,А. В. Секторова,
256,2016-08-13,Нормаль,Луч-2,2.951,0.020,М. С. Точкин,
257,2016-09-23,Нормаль,Луч-2,2.950,0.020,И. И. Хордова,
258,2016-11-12,Нормаль,Луч-2,2.925,0.020,М. С. Точкин,
259,2016-12-24,Нормаль,Луч-2,2.954,0.020,Д. Р. Медианов,
260,2017-02-20,Нормаль,Луч-2,2.941,0.020,М. С. Точкин,повтор после замены усилителя
261,2017-04-28,Нормаль,Луч-2,2.931,0.020,Д. Р. Медианов,
262,2017-07-27,Нормаль,Луч-2,2.921,0.020,Д. Р. Медианов,
263,2017-08-07,Нормаль,Луч-2,2.935,0.020,И. И. Хордова,
264,2017-08-15,Нормаль,Луч-2,2.950,0.020,М. С. Точкин,
265,2017-09-14,Нормаль,Луч-2,2.951,0.020,М. С. Точкин,
266,2017-10-23,Нормаль,Луч-2,2.955,0.020,Д. Р. Медианов,
267,2017-11-27,Нормаль,Луч-2,2.927,0.020,А. В. Секторова,
268,2018-01-16,Нормаль,Луч-2,2.939,0.020,И. И. Хордова,
269,2018-03-27,орбита,Периметр-1,2.933,0.006,А. В. Секторова,
270,2018-05-14,орбита,Периметр-1,2.939,0.006,Д. Р. Медианов,
271,2018-10-19,Нормаль,Луч-2,2.921,0.020,Д. Р. Медианов,повтор после замены усилителя
272,2018-11-03,орбита,Периметр-1,2.943,0.006,А. В. Секторова,
273,2018-11-20,Нормаль,Луч-2,2.943,0.020,И. И. Хордова,
274,2018-11-22,Нормаль,Луч-2,2.929,0.020,М. С. Точкин,
275,2018-12-14,Нормаль,Луч-2,2.945,0.020,А. В. Секторова,
276,2019-02-15,орбита,Периметр-1,2.936,0.006,И. И. Хордова,
277,2019-03-04,Нормаль,Луч-2,2.941,0.020,А. В. Секторова,
278,2019-04-18,орбита,Периметр-1,2.934,0.006,И. И. Хордова,
279,2019-06-12,Нормаль,Луч-2,2.930,0.020,И. И. Хордова,
280,2019-07-03,Нормаль,Луч-2,2.967,0.020,М. С. Точкин,
281,2019-08-17,Нормаль,Луч-2,2.953,0.020,М. С. Точкин,
282,2019-11-19,Нормаль,Луч-2,2.928,0.020,Д. Р. Медианов,
283,2019-12-02,орбита,Периметр-1,2.950,0.006,М. С. Точкин,
284,2020-02-17,Нормаль,Луч-2,2.931,0.020,И. И. Хордова,
285,2020-02-21,орбита,Периметр-1,2.939,0.006,М. С. Точкин,
286,2020-03-16,Нормаль,Луч-2,2.922,0.020,А. В. Секторова,
287,2020-04-09,орбита,Периметр-1,2.943,0.006,И. И. Хордова,
288,2020-06-06,Нормаль,Луч-2,2.943,0.020,М. С. Точкин,
289,2020-07-10,Нормаль,Луч-2,2.932,0.020,М. С. Точкин,
290,2020-08-05,Нормаль,Луч-2,2.927,0.020,М. С. Точкин,
291,2020-11-18,Нормаль,Луч-2,2.927,0.020,Д. Р. Медианов,
292,2021-03-01,Нормаль,Луч-2,2.936,0.020,И. И. Хордова,
293,2021-04-22,Нормаль,Луч-2,2.962,0.020,М. С. Точкин,
294,2021-07-24,Нормаль,Луч-2,2.962,0.020,Д. Р. Медианов,
295,2021-10-11,Нормаль,Луч-2,2.942,0.020,М. С. Точкин,
296,2021-10-12,Нормаль,Луч-2,2.949,0.020,И. И. Хордова,
297,2021-10-27,орбита,Периметр-1,2.938,0.006,И. И. Хордова,
298,2021-11-04,орбита,Периметр-1,2.944,0.006,И. И. Хордова,
299,2021-11-28,Нормаль,Луч-2,2.916,0.020,Д. Р. Медианов,
300,2022-02-19,орбита,Периметр-1,2.937,0.006,А. В. Секторова,
301,2022-06-09,орбита,Периметр-1,2.933,0.006,М. С. Точкин,
302,2022-08-01,Нормаль,Луч-2,2.967,0.020,М. С. Точкин,
303,2022-10-07,Нормаль,Луч-2,2.928,0.020,И. И. Хордова,
304,2022-10-10,Нормаль,Луч-2,2.947,0.020,М. С. Точкин,
305,2022-11-02,Нормаль,Луч-2,2.937,0.020,И. И. Хордова,
306,2022-11-04,Нормаль,Луч-2,2.954,0.020,Д. Р. Медианов,калибровка по эталонной нагрузке
307,2022-11-19,Нормаль,Луч-2,2.932,0.020,Д. Р. Медианов,
308,2023-01-07,Нормаль,Луч-2,2.936,0.020,Д. Р. Медианов,
309,2023-03-11,орбита,Периметр-1,2.943,0.006,М. С. Точкин,
310,2023-07-01,Нормаль,Луч-2,2.931,0.020,Д. Р. Медианов,
311,2023-08-07,Нормаль,Луч-2,2.941,0.020,А. В. Секторова,
312,2023-08-20,Нормаль,Луч-2,2.911,0.020,И. И. Хордова,калибровка по эталонной нагрузке
313,2023-09-21,орбита,Периметр-1,2.943,0.006,М. С. Точкин,
314,2023-11-20,Нормаль,Луч-2,2.931,0.020,А. В. Секторова,
315,2023-12-10,Нормаль,Луч-2,2.942,0.020,М. С. Точкин,
