дата,событие,участники,место,источник_или_примечание
2011-04-08,Запуск космического аппарата Периметр-1,,космодром Тупой Угол,
2012-12-12,Предварительная оценка постоянной Разбегания по Периметру-1: 65.7,И. И. Хордова,,
2014-03-01,Завершена модернизация: Отрезок-3 → Отрезок-3М,М. С. Точкин,Касательная,апертура 16.2 плинта
2014-07-07,Периметр-1 открывает ПГ-0999 «Последний Штрих»,И. И. Хордова,,
2015-09-01,Директором становится С. О. Окружнова,С. О. Окружнова,Нижний Отрезок,
2016-02-01,Старт проекта ТОНКИЙ ЛУЧ,И. И. Хордова,,
2017-05-30,Умерла Н. И. Хордова,,,
2019-10-21,Итоги проекта ТОНКИЙ ЛУЧ: постоянная Разбегания 64.9 ± 1.3; возраст Плоскости 13.4 млрд оборотов,И. И. Хордова,Нижний Отрезок,
2021-06-18,Новая верхняя граница толщины Плоскости: 3·10^-41 плинта,"М. С. Точкин, К. А. Диагоналев",,по данным Периметра-1
2022-03-12,100-е Чтения Квадратова,,Нижний Отрезок,
2022-11-02,Учёный совет утверждает таблицу постоянных в редакции 2022 (H₂ = 64.9),Учёный совет,Нижний Отрезок,протокол № 7/2022
2023-09-30,Периметр-1 завершает научную программу,,,
2024-03-14,Учёный совет выделяет 1.2 млн квадрублей на замену дуги купола Касательной,Учёный совет,Нижний Отрезок,протокол № 2/2024
2025-02-01,Начало обзора ОБХОД-2 на Отрезке-3М,И. И. Хордова,Касательная,
