год,авторы,название,журнал,том,страницы,примечание
1948,"Е. С. Треугольникова, И. П. Хордов, А. К. Толщин",Кривая вращения Спирали Архимеда-1,Вестник Плоскости,57,172–191,
1948,"И. П. Хордов, Е. С. Треугольникова",Об одном случае линзирования в поле Ладьи Треугольниковой,Вестник Плоскости,57,106–113,
1949,И. П. Хордов,Радиолиния ПГ-0777 по методу «Туго-Ширь»,Вестник Плоскости,58,145–158,
1949,И. П. Хордов,Новые ограничения на волны изгиба,Вестник Плоскости,58,155–170,
1951,"Е. С. Треугольникова, И. П. Хордов, А. К. Толщин",Спектральные наблюдения Малой Кляксы,Вестник Плоскости,60,261–287,
1951,"И. П. Хордов, А. К. Толщин, Е. С. Треугольникова",К вопросу о природе свечения Ладьи Треугольниковой,Вестник Плоскости,60,239–264,
1952,А. К. Толщин,О возможной конечной поперечной мере Плоскости,Плоские письма,3,12–14,повод к Великому Спору
1952,"А. К. Толщин, И. П. Хордов",О распределении мигалок в Туманности Штрих-Б,Вестник Плоскости,61,53–61,
1952,Е. С. Треугольникова,Спектральные наблюдения Спирали Архимеда-1,Вестник Плоскости,61,203–229,
1952,И. П. Хордов,Ноль есть ноль,Вестник Плоскости,61,301–305,
1953,А. К. Толщин,Спектральные наблюдения Туманности Штрих,Вестник Плоскости,62,143–167,
1953,И. П. Хордов,К вопросу о природе свечения Спирали Архимеда-7,Плоские письма,4,160–189,
1955,"А. К. Толщин, И. П. Хордов",О числе рукавов Туманности Штрих,Вестник Плоскости,64,13–26,
1955,"А. К. Толщин, И. П. Хордов, Е. С. Треугольникова",О систематике шкалы мигалок,Вестник Плоскости,64,151–174,
1956,А. К. Толщин,К вопросу о природе свечения ПГ-0777,Вестник Плоскости,65,375–387,
1956,"Е. С. Треугольникова, А. К. Толщин, И. П. Хордов",Об одном случае линзирования в поле Туманности Штрих-Б,Плоские письма,7,251–271,
1957,"А. К. Толщин, Е. С. Треугольникова",О распределении мигалок в ПГ-1313,Плоские письма,8,64–89,
1957,Е. С. Треугольникова,Фотометрия ядра Спирали Архимеда-1,Вестник Плоскости,66,213–227,
1958,"Е. С. Треугольникова, А. К. Толщин",Переменные звёзды в окрестности ПГ-1313,Вестник Плоскости,67,182–203,
1958,"И. П. Хордов, Е. С. Треугольникова, А. К. Толщин",Уточнение расстояния до Малой Кляксы,Плоские письма,9,55–67,
1963,А. К. Толщин,Переменные звёзды в окрестности Туманности Штрих,Плоские письма,14,138–165,
1963,"Н. И. Хордова, А. К. Толщин",Устойчивость вращающихся дисков в двух измерениях,Плоские письма,14,201–212,
1965,"Б. Г. Эллипсов, Л. А. Пентагонов",Уточнение расстояния до Спирали Архимеда-1,Плоские письма,16,267–283,
1965,С. Т. Точкин,О распределении мигалок в Туманности Штрих,Плоские письма,16,304–326,
1966,"А. К. Толщин, С. Т. Точкин",Радиолиния Туманности Штрих-Б по методу «Туго-Ширь»,Плоские письма,17,65–73,
1966,Л. А. Пентагонов,Радиолиния Большой Кляксы по методу «Туго-Ширь»,Плоские письма,17,47–76,
1968,"Е. С. Треугольникова, С. Т. Точкин, Н. И. Хордова",О новом определении постоянной Разбегания и возраста Плоскости,Бюллетень ИПК,41,1–16,"H₂ = 71,4 ± 6 (устарело)"
1970,"А. К. Толщин, Б. Г. Эллипсов",Каталог ярчайших звёзд Ладьи Треугольниковой,Вестник Плоскости,79,141–148,
1970,"Б. Г. Эллипсов, С. Т. Точкин, Е. С. Треугольникова",О систематике шкалы мигалок,Вестник Плоскости,79,191–210,
1970,Н. И. Хордова,О распределении мигалок в ПГ-0999,Плоские письма,21,192–216,
1971,"Е. С. Треугольникова, С. Т. Точкин",Переменные звёзды в окрестности ПГ-1313,Плоские письма,22,393–423,
1971,"Л. А. Пентагонов, А. К. Толщин",Новые ограничения на волны изгиба,Плоские письма,22,338–362,
1971,"С. Т. Точкин, Б. Г. Эллипсов",О числе рукавов ПГ-0777,Плоские письма,22,85–115,
1973,А. К. Толщин,Спектральные наблюдения Туманности Штрих-Б,Плоские письма,24,226–237,
1973,Б. Г. Эллипсов,Радиолиния Ладьи Треугольниковой по методу «Туго-Ширь»,Плоские письма,24,169–183,
1973,"Л. А. Пентагонов, Н. И. Хордова",К вопросу о природе свечения Большой Кляксы,Вестник Плоскости,82,116–119,
1975,Б. Г. Эллипсов,Фотометрия ядра Спирали Архимеда-1,Вестник Плоскости,84,167–176,
1975,"Б. Г. Эллипсов, Л. А. Пентагонов, Е. С. Треугольникова",Переменные звёзды в окрестности Туманности Штрих-Б,Плоские письма,26,286–297,
1975,Л. А. Пентагонов,Каталог ярчайших звёзд Туманности Штрих-Б,Плоские письма,26,282–308,
1976,Н. И. Хордова,О числе рукавов ПГ-0999,Вестник Плоскости,85,143–172,
1976,Н. И. Хордова,Спектральные наблюдения Спирали Архимеда-7,Вестник Плоскости,85,390–402,
1976,"С. Т. Точкин, Б. Г. Эллипсов",Фотометрия ядра Спирали Архимеда-1,Вестник Плоскости,85,193–215,
1979,Г. Ф. Ромбов,О статистике кольцевых галактик,Плоские письма,30,353–370,
1979,П. И. Гранёв,Термические деформации главного отрезка,Плоские письма,30,92–107,
1979,С. Т. Точкин,Приливные хвосты Туманности Штрих-Б,Вестник Плоскости,88,188–213,
1981,Б. Г. Эллипсов,Конический дефект скоплений,Плоские письма,32,6–34,
1981,Б. Г. Эллипсов,Приливные хвосты Малой Кляксы,Плоские письма,32,197–211,
1981,"К. А. Диагоналев, Г. Ф. Ромбов",Радиолиния Туманности Штрих по методу «Туго-Ширь»,Вестник Плоскости,90,270–284,
1982,Б. Г. Эллипсов,Спектральные наблюдения Спирали Архимеда-7,Плоские письма,33,278–294,
1982,"К. А. Диагоналев, С. Т. Точкин",Кривая вращения Спирали Архимеда-7,Вестник Плоскости,91,347–376,
1982,Л. А. Пентагонов,Об одной закономерности в числе спиральных ветвей,Вестник Плоскости,91,77–94,закон Пентагонова
1982,П. И. Гранёв,К вопросу о природе свечения Малой Кляксы,Вестник Плоскости,91,173–189,
1983,К. А. Диагоналев,К вопросу о природе свечения Спирали Архимеда-1,Плоские письма,34,388–416,
1983,К. А. Диагоналев,Фотометрия ядра Туманности Штрих,Плоские письма,34,222–250,
1983,"Л. А. Пентагонов, С. Т. Точкин, Б. Г. Эллипсов",Фотометрия ядра Малой Кляксы,Плоские письма,34,20–50,
1984,"К. А. Диагоналев, П. И. Гранёв",Спектральные наблюдения ПГ-0999,Вестник Плоскости,93,62–79,
1984,"Л. А. Пентагонов, П. И. Гранёв",К теории растяжки,Плоские письма,35,58–68,
1984,"П. И. Гранёв, Б. Г. Эллипсов",Новые ограничения на волны изгиба,Вестник Плоскости,93,93–108,
1986,"Л. А. Пентагонов, Г. Ф. Ромбов, К. А. Диагоналев",Радиолиния Малой Кляксы по методу «Туго-Ширь»,Вестник Плоскости,95,243–267,
1986,"Л. А. Пентагонов, К. А. Диагоналев",Каталог ярчайших звёзд Большой Кляксы,Плоские письма,37,209–222,
1986,"Л. А. Пентагонов, П. И. Гранёв",Фотометрия ядра Спирали Архимеда-1,Вестник Плоскости,95,340–345,
1987,"Л. А. Пентагонов, Г. Ф. Ромбов, Б. Г. Эллипсов",Кривая вращения Туманности Штрих-Б,Плоские письма,38,77–93,
1987,"П. И. Гранёв, Г. Ф. Ромбов",О систематике шкалы мигалок,Плоские письма,38,240–246,
1987,"С. Т. Точкин, Г. Ф. Ромбов",Радиолиния Туманности Штрих-Б по методу «Туго-Ширь»,Вестник Плоскости,96,32–58,
1988,Б. Г. Эллипсов,Новые ограничения на волны изгиба,Вестник Плоскости,97,24–34,
1988,"Г. Ф. Ромбов, К. А. Диагоналев",Фотометрия ядра Малой Кляксы,Вестник Плоскости,97,198–211,
1988,Л. А. Пентагонов,Уточнение расстояния до Спирали Архимеда-1,Вестник Плоскости,97,358–386,
1991,Б. Г. Эллипсов,Фотометрия ядра Туманности Штрих,Плоские письма,42,105–131,
1991,Г. Ф. Ромбов,Плоскость как цилиндр,Плоские письма,42,5–11,цилиндрическая модель
1991,С. Т. Точкин,О логарифмическом потенциале галактик,Вестник Плоскости,100,131–133,
1991,"С. Т. Точкин, К. А. Диагоналев, Б. Г. Эллипсов",К вопросу о природе свечения ПГ-1313,Вестник Плоскости,100,274–277,
1992,"Б. Г. Эллипсов, К. А. Диагоналев",Устойчивость вращающихся дисков в двух измерениях,Вестник Плоскости,101,208–211,
1992,Г. Ф. Ромбов,Радиолиния Спирали Архимеда-1 по методу «Туго-Ширь»,Плоские письма,43,368–382,
1992,"К. А. Диагоналев, П. И. Гранёв",Шумы толщиномера,Вестник Плоскости,101,287–295,
1993,"К. А. Диагоналев, Л. А. Пентагонов",К вопросу о природе свечения Спирали Архимеда-1,Вестник Плоскости,102,15–37,
1993,"С. Т. Точкин, Л. А. Пентагонов",Каталог ярчайших звёзд ПГ-1313,Вестник Плоскости,102,91–94,
1993,"С. Т. Точкин, Л. А. Пентагонов",Конический дефект скоплений,Вестник Плоскости,102,206–215,
1995,"Б. Г. Эллипсов, Г. Ф. Ромбов",О распределении мигалок в Туманности Штрих,Плоские письма,46,372–377,
1995,"Б. Г. Эллипсов, Л. А. Пентагонов, С. Т. Точкин",О числе рукавов ПГ-1313,Вестник Плоскости,104,326–332,
1995,"К. А. Диагоналев, Г. Ф. Ромбов",Методика обзора неба с поворотной дугой,Вестник Плоскости,104,309–320,
1996,Л. А. Пентагонов,Переменные звёзды в окрестности Малой Кляксы,Плоские письма,47,117–147,
1996,Л. А. Пентагонов,Пылевая полоса Млечной Черты,Вестник Плоскости,105,225–249,
1996,"П. И. Гранёв, К. А. Диагоналев",Радиолиния ПГ-1313 по методу «Туго-Ширь»,Вестник Плоскости,105,124–147,
1997,"К. А. Диагоналев, С. Т. Точкин, П. И. Гранёв",О распределении мигалок в Ладьи Треугольниковой,Вестник Плоскости,106,228–256,
1997,"Л. А. Пентагонов, С. Т. Точкин",О логарифмическом потенциале галактик,Вестник Плоскости,106,44–59,
1997,П. И. Гранёв,Радиолиния Спирали Архимеда-7 по методу «Туго-Ширь»,Плоские письма,48,267–290,
1998,Г. Ф. Ромбов,Спектральные наблюдения Спирали Архимеда-7,Плоские письма,49,292–295,
1998,"Г. Ф. Ромбов, Д. Р. Медианов",Об одном случае линзирования в поле ПГ-0999,Вестник Плоскости,107,305–320,
1998,С. О. Окружнова,Фотометрия ядра Туманности Штрих,Вестник Плоскости,107,38–50,
2002,Г. Ф. Ромбов,К вопросу о природе свечения Ладьи Треугольниковой,Вестник Плоскости,111,350–372,
2002,Д. Р. Медианов,Уточнение расстояния до Малой Кляксы,Вестник Плоскости,111,112–139,
2002,Д. Р. Медианов,Кривая вращения Спирали Архимеда-1,Плоские письма,53,198–222,
2003,Б. Г. Эллипсов,Каталог ярчайших звёзд ПГ-0777,Плоские письма,54,368–393,
2003,"Г. Ф. Ромбов, С. О. Окружнова",О распределении мигалок в Спирали Архимеда-1,Плоские письма,54,49–58,
2003,"Д. Р. Медианов, Г. Ф. Ромбов",Фотометрия ядра Малой Кляксы,Плоские письма,54,197–204,
2004,М. С. Точкин,Переменные звёзды в окрестности Спирали Архимеда-1,Плоские письма,55,324–354,
2004,М. С. Точкин,Приливные хвосты Спирали Архимеда-7,Вестник Плоскости,113,216–228,
2004,"С. О. Окружнова, М. С. Точкин",Кривая вращения ПГ-0777,Плоские письма,55,317–346,
2005,Б. Г. Эллипсов,Переменные звёзды в окрестности ПГ-0777,Плоские письма,56,136–164,
2005,"Д. Р. Медианов, П. И. Гранёв",Радиолиния Ладьи Треугольниковой по методу «Туго-Ширь»,Плоские письма,56,228–258,
2005,И. И. Хордова,Кривая вращения ПГ-1313,Плоские письма,56,341–369,
2006,"Г. Ф. Ромбов, М. С. Точкин",Кривая вращения Туманности Штрих-Б,Плоские письма,57,302–332,
2006,"И. И. Хордова, П. И. Гранёв, Г. Ф. Ромбов",Методика обзора неба с поворотной дугой,Плоские письма,57,388–407,
2006,"М. С. Точкин, И. И. Хордова",Пылевая полоса Млечной Черты,Вестник Плоскости,115,230–259,
2007,Б. Г. Эллипсов,Спектральные наблюдения ПГ-1313,Плоские письма,58,97–127,
2007,"Д. Р. Медианов, П. И. Гранёв",Устойчивость вращающихся дисков в двух измерениях,Вестник Плоскости,116,124–137,
2007,С. О. Окружнова,О распределении мигалок в ПГ-0777,Плоские письма,58,199–209,
2008,"Г. Ф. Ромбов, Д. Р. Медианов, М. С. Точкин",Уточнение расстояния до Малой Кляксы,Плоские письма,59,177–206,
2008,"Д. Р. Медианов, П. И. Гранёв, Б. Г. Эллипсов",Приливные хвосты Большой Кляксы,Вестник Плоскости,117,214–216,
2008,"И. И. Хордова, Д. Р. Медианов, Г. Ф. Ромбов",Об одном случае линзирования в поле ПГ-1313,Вестник Плоскости,117,337–352,
2009,П. И. Гранёв,О распределении мигалок в Туманности Штрих-Б,Плоские письма,60,71–94,
2009,П. И. Гранёв,Спектральные наблюдения Спирали Архимеда-1,Плоские письма,60,336–344,
2009,"П. И. Гранёв, И. И. Хордова",Кривая вращения ПГ-0999,Плоские письма,60,292–307,
2011,"Б. Г. Эллипсов, М. С. Точкин",Конический дефект скоплений,Вестник Плоскости,120,197–208,
2011,"Г. Ф. Ромбов, И. И. Хордова, М. С. Точкин",Шумы толщиномера,Вестник Плоскости,120,225–247,
2011,"Д. Р. Медианов, М. С. Точкин, Б. Г. Эллипсов",Устойчивость вращающихся дисков в двух измерениях,Вестник Плоскости,120,108–113,
2012,Д. Р. Медианов,Спектральные наблюдения Большой Кляксы,Вестник Плоскости,121,301–314,
2012,И. И. Хордова,О систематике шкалы мигалок,Плоские письма,63,335–356,
2012,П. И. Гранёв,Фотометрия ядра ПГ-0999,Плоские письма,63,293–295,
2013,Б. Г. Эллипсов,Устойчивость вращающихся дисков в двух измерениях,Вестник Плоскости,122,265–272,
2013,"Б. Г. Эллипсов, М. С. Точкин",К вопросу о природе свечения Туманности Штрих,Вестник Плоскости,122,291–320,
2013,"Г. Ф. Ромбов, С. О. Окружнова, М. С. Точкин",О распределении мигалок в ПГ-0999,Плоские письма,64,319–345,
2014,Г. Ф. Ромбов,О логарифмическом потенциале галактик,Вестник Плоскости,123,1–12,
2014,"Д. Р. Медианов, П. И. Гранёв, Б. Г. Эллипсов",Методика обзора неба с поворотной дугой,Плоские письма,65,261–263,
2014,С. О. Окружнова,Каталог ярчайших звёзд Ладьи Треугольниковой,Вестник Плоскости,123,124–138,
2015,"А. В. Секторова, С. О. Окружнова",О логарифмическом потенциале галактик,Плоские письма,66,360–374,
2015,М. С. Точкин,О числе рукавов ПГ-1313,Плоские письма,66,186–191,
2015,С. О. Окружнова,О распределении мигалок в ПГ-1313,Плоские письма,66,157–184,
2016,"Г. Ф. Ромбов, П. И. Гранёв, И. И. Хордова",О логарифмическом потенциале галактик,Вестник Плоскости,125,45–66,
2016,М. С. Точкин,Об одном случае линзирования в поле ПГ-1313,Вестник Плоскости,125,117–121,
2016,"Я. О. Отрезкина, Р. С. Кривцов",К вопросу о природе свечения Спирали Архимеда-7,Вестник Плоскости,125,395–419,
2017,А. В. Секторова,Каталог ярчайших звёзд Ладьи Треугольниковой,Вестник Плоскости,126,69–89,
2017,"И. И. Хордова, Г. Ф. Ромбов",Устойчивость вращающихся дисков в двух измерениях,Вестник Плоскости,126,199–201,
2017,"К. А. Диагоналев, Г. Ф. Ромбов",Об одном случае линзирования в поле Спирали Архимеда-1,Вестник Плоскости,126,102–126,
2018,"М. С. Точкин, Г. Ф. Ромбов",Фотометрия ядра Спирали Архимеда-1,Плоские письма,69,323–331,
2018,"Р. С. Кривцов, М. С. Точкин",О распределении мигалок в Спирали Архимеда-7,Плоские письма,69,288–318,
2018,С. О. Окружнова,Кривая вращения ПГ-0777,Плоские письма,69,195–198,
2019,"И. И. Хордова, М. С. Точкин, Д. Р. Медианов и др.",ТОНКИЙ ЛУЧ: постоянная Разбегания с точностью 2 %,Вестник Плоскости,128,1–64,"H₂ = 64,9 ± 1,3"
2020,Г. Ф. Ромбов,Направления поиска эха Шва,Плоские письма,71,40–47,окружность цилиндра 8 400 Мпл
2020,"Г. Ф. Ромбов, И. И. Хордова, К. А. Диагоналев",О статистике кольцевых галактик,Вестник Плоскости,129,160–170,
2020,"И. И. Хордова, М. С. Точкин, П. И. Гранёв",Устойчивость вращающихся дисков в двух измерениях,Плоские письма,71,381–398,
2020,Р. С. Кривцов,К вопросу о природе свечения Большой Кляксы,Вестник Плоскости,129,291–318,
2020,С. О. Окружнова,"Модели формы Плоскости: Диск, Лист, Цилиндр",Вестник Плоскости,129,211–238,обзор
2021,"И. И. Хордова, К. А. Диагоналев, П. И. Гранёв",О логарифмическом потенциале галактик,Вестник Плоскости,130,264–293,
2021,"М. С. Точкин, К. А. Диагоналев",Насколько мы тонкие: граница толщины Плоскости по данным Периметра-1 и ТМ-7,Плоские письма,72,1–9,ε < 3·10⁻⁴¹ плинта
2021,"Р. С. Кривцов, К. А. Диагоналев, М. С. Точкин",Уточнение расстояния до ПГ-0999,Плоские письма,72,262–290,
2021,Я. О. Отрезкина,Приливные хвосты Малой Кляксы,Вестник Плоскости,130,162–165,
2022,Г. Ф. Ромбов,Переменные звёзды в окрестности Большой Кляксы,Вестник Плоскости,131,356–370,
2022,"К. А. Диагоналев, П. И. Гранёв, Я. О. Отрезкина",Об одном случае линзирования в поле Большой Кляксы,Плоские письма,73,400–405,
2022,"Я. О. Отрезкина, С. О. Окружнова, А. В. Секторова",Об одном случае линзирования в поле ПГ-0777,Плоские письма,73,154–166,
2023,"А. В. Секторова, П. И. Гранёв",Уточнение расстояния до Туманности Штрих,Вестник Плоскости,132,330–345,
2023,"Г. Ф. Ромбов, П. И. Гранёв",О числе рукавов ПГ-0999,Вестник Плоскости,132,310–327,
2023,"К. А. Диагоналев, Р. С. Кривцов",О распределении мигалок в Ладьи Треугольниковой,Вестник Плоскости,132,25–27,
2025,К. А. Диагоналев,Уточнение расстояния до ПГ-1313,Вестник Плоскости,134,38–61,
2025,"Р. С. Кривцов, И. И. Хордова, К. А. Диагоналев",Спектральные наблюдения ПГ-0777,Вестник Плоскости,134,54–65,
2025,"С. О. Окружнова, М. С. Точкин",Приливные хвосты Большой Кляксы,Вестник Плоскости,134,307–337,
