обозначение,название,тип,расстояние_Мпл,красное_смещение_z,число_рукавов,светимость_отн_МЧ,год_открытия,первооткрыватель,инструмент,примечание
ПГ-0130,—,линзовидная,89.51,0.01883,0,0.11,2009,Б. Г. Эллипсов,Отрезок-3,кандидат в кольцевые
ПГ-0139,—,эллиптическая,219.09,0.04569,0,1.52,2001,С. О. Окружнова,Отрезок-3,двойное ядро
ПГ-0143,—,спиральная,59.54,0.01241,7,0.22,2003,С. О. Окружнова,Отрезок-3,в поле обзора ОБХОД-1
ПГ-0144,—,спиральная,90.62,0.01891,5,6.08,2013,группа ИПК,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-0145,—,линзовидная,222.51,0.04640,0,0.75,1988,Г. Ф. Ромбов,Отрезок-3,"слабая, требует подтверждения"
ПГ-0147,—,спиральная,33.49,0.00689,3,0.45,1940,группа ИПК,Отрезок-2,повышенная радиояркость
ПГ-0151,—,линзовидная,14.95,0.00304,0,2.66,1965,Е. С. Треугольникова,Отрезок-2,
ПГ-0152,—,эллиптическая,72.51,0.01506,0,0.13,2020,обзор ОБХОД-1,Отрезок-3М,искажена приливом
ПГ-0154,—,линзовидная,6.74,0.00149,0,0.07,1986,Б. Г. Эллипсов,Луч,пылевая полоса вдоль оси
ПГ-0158,—,эллиптическая,38.54,0.00798,0,0.52,1980,Л. А. Пентагонов,Отрезок-3,в паре с соседней
ПГ-0162,—,эллиптическая,17.05,0.00364,0,0.74,1969,Е. С. Треугольникова,Отрезок-2,повышенная радиояркость
ПГ-0164,—,неправильная,77.57,0.01612,0,0.48,1995,группа ИПК,Отрезок-3,
ПГ-0167,—,эллиптическая,305.86,0.06392,0,2.29,2011,группа ИПК,Отрезок-3,
ПГ-0168,—,линзовидная,46.64,0.00975,0,0.23,1942,группа ИПК,Отрезок-2,рукава сильно закручены
ПГ-0171,—,спиральная,154.79,0.03226,3,0.20,1990,Л. А. Пентагонов,Отрезок-3,компактная
ПГ-0173,—,спиральная,24.00,0.00500,3,0.37,1901,А. Н. Квадратов,Рефрактор Квадратова,в паре с соседней
ПГ-0175,—,спиральная,373.18,0.07780,3,0.23,2018,обзор ОБХОД-1,Отрезок-3М,
ПГ-0180,—,спиральная,3.52,0.00081,9,0.44,1903,А. Н. Квадратов,Рефрактор Квадратова,искажена приливом
ПГ-0182,—,спиральная,199.68,0.04176,1,0.37,2006,И. И. Хордова,Отрезок-3,повышенная радиояркость
ПГ-0183,—,спиральная,30.96,0.00648,3,0.34,2014,И. И. Хордова,Отрезок-3М,
ПГ-0186,—,линзовидная,92.85,0.01923,0,1.63,2024,С. О. Окружнова,Отрезок-3М,"слабая, требует подтверждения"
ПГ-0188,—,эллиптическая,177.40,0.03696,0,0.16,2012,Б. Г. Эллипсов,Луч-2,
ПГ-0189,—,спиральная,208.00,0.04338,5,0.96,1990,группа ИПК,Отрезок-3,координаты уточнены в 2019
ПГ-0191,—,спиральная,154.41,0.03220,5,0.75,2006,группа ИПК,Отрезок-3,"слабая, требует подтверждения"
ПГ-0192,—,спиральная,11.32,0.00239,5,2.13,1915,А. Н. Квадратов,Отрезок-1,пылевая полоса вдоль оси
ПГ-0193,—,спиральная,6.14,0.00110,3,1.81,1971,Л. А. Пентагонов,Отрезок-2,
ПГ-0196,—,эллиптическая,50.15,0.01056,0,10.56,1945,И. П. Хордов,Отрезок-2,
ПГ-0197,—,спиральная,58.57,0.01211,3,0.19,1988,группа ИПК,Отрезок-3,кандидат в кольцевые
ПГ-0199,—,линзовидная,212.68,0.04447,0,0.17,2002,С. О. Окружнова,Отрезок-3,
ПГ-0200,—,спиральная,296.94,0.06199,5,1.02,2013,С. О. Окружнова,Отрезок-3,двойное ядро
ПГ-0201,—,эллиптическая,4.41,0.00106,0,0.79,1930,И. П. Хордов,Отрезок-1,"слабая, требует подтверждения"
ПГ-0206,—,линзовидная,304.35,0.06341,0,3.54,2020,С. О. Окружнова,Отрезок-3М,
ПГ-0207,Ромашка-1,спиральная,3.66,0.00074,5,0.55,1962,Н. И. Хордова,Луч,пылевая полоса вдоль оси
ПГ-0208,—,эллиптическая,6.34,0.00116,0,0.99,1919,А. Н. Квадратов,Отрезок-1,
ПГ-0210,—,неправильная,48.57,0.01026,0,0.30,1979,Б. Г. Эллипсов,Отрезок-3,двойное ядро
ПГ-0213,—,линзовидная,126.45,0.02644,0,0.58,1988,Л. А. Пентагонов,Отрезок-3,искажена приливом
ПГ-0214,—,спиральная,244.53,0.05113,9,1.12,2000,С. О. Окружнова,Отрезок-3,координаты уточнены в 2019
ПГ-0215,—,спиральная,161.71,0.03396,3,0.80,2014,С. О. Окружнова,Отрезок-3М,в поле обзора ОБХОД-1
ПГ-0216,—,спиральная,38.38,0.00802,3,1.98,1935,А. К. Толщин,Отрезок-2,координаты уточнены в 2019
ПГ-0217,—,линзовидная,57.64,0.01192,0,1.00,1991,группа ИПК,Отрезок-3,
ПГ-0218,—,линзовидная,5.16,0.00122,0,0.15,1954,группа ИПК,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-0222,—,линзовидная,154.06,0.03215,0,0.32,1995,Г. Ф. Ромбов,Отрезок-3,повышенная радиояркость
ПГ-0223,—,эллиптическая,234.74,0.04907,0,0.65,1994,Г. Ф. Ромбов,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-0225,—,эллиптическая,393.39,0.08212,0,1.12,2022,И. И. Хордова,Отрезок-3М,повышенная радиояркость
ПГ-0226,—,неправильная,73.11,0.01541,0,0.62,2013,Г. Ф. Ромбов,Отрезок-3,координаты уточнены в 2019
ПГ-0234,—,линзовидная,7.10,0.00144,0,0.57,1958,Е. С. Треугольникова,Отрезок-2,
ПГ-0236,—,спиральная,207.07,0.04298,5,4.04,2017,М. С. Точкин,Луч-2,координаты уточнены в 2019
ПГ-0240,—,неправильная,24.53,0.00496,0,0.09,1933,А. К. Толщин,Отрезок-1,"слабая, требует подтверждения"
ПГ-0244,—,спиральная,356.75,0.07447,5,1.47,2013,И. И. Хордова,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-0249,—,неправильная,162.95,0.03413,0,0.34,1982,Г. Ф. Ромбов,Отрезок-3,рукава сильно закручены
ПГ-0254,—,неправильная,162.67,0.03380,0,2.00,1987,Л. А. Пентагонов,Отрезок-3,кандидат в кольцевые
ПГ-0255,—,спиральная,53.75,0.01102,3,0.31,1948,А. К. Толщин,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-0256,—,эллиптическая,158.65,0.03315,0,1.63,1986,Г. Ф. Ромбов,Отрезок-3,
ПГ-0262,—,спиральная,164.90,0.03431,9,0.13,2014,И. И. Хордова,Луч-2,компактная
ПГ-0264,—,линзовидная,42.01,0.00896,0,1.29,1962,Л. А. Пентагонов,Отрезок-2,кандидат в кольцевые
ПГ-0266,—,спиральная,64.41,0.01361,7,1.00,2022,М. С. Точкин,Периметр-1,в поле обзора ОБХОД-1
ПГ-0270,—,неправильная,48.71,0.01004,0,0.28,1999,С. О. Окружнова,Отрезок-3,в паре с соседней
ПГ-0273,Зигзаг-2,неправильная,32.18,0.00686,0,1.09,2013,И. И. Хордова,Луч-2,кандидат в кольцевые
ПГ-0274,—,неправильная,40.57,0.00843,0,1.84,2017,С. О. Окружнова,Отрезок-3М,
ПГ-0275,—,неправильная,64.01,0.01340,0,1.93,2015,С. О. Окружнова,Отрезок-3М,двойное ядро
ПГ-0280,—,спиральная,48.68,0.01013,7,0.47,1970,Л. А. Пентагонов,Отрезок-2,
ПГ-0281,Запятая-1,эллиптическая,333.28,0.06959,0,4.72,2017,М. С. Точкин,Периметр-1,в паре с соседней
ПГ-0282,—,спиральная,34.79,0.00723,3,0.67,1937,А. К. Толщин,Отрезок-2,
ПГ-0284,—,спиральная,195.67,0.04096,5,0.97,2002,С. О. Окружнова,Отрезок-3,двойное ядро
ПГ-0286,—,эллиптическая,231.18,0.04823,0,0.43,1981,Г. Ф. Ромбов,Отрезок-3,координаты уточнены в 2019
ПГ-0287,—,эллиптическая,223.20,0.04656,0,0.81,2011,Б. Г. Эллипсов,Периметр-1,повышенная радиояркость
ПГ-0288,—,эллиптическая,86.87,0.01826,0,0.29,1998,Г. Ф. Ромбов,Отрезок-3,
ПГ-0289,—,эллиптическая,35.07,0.00740,0,1.08,1971,С. Т. Точкин,Отрезок-2,пылевая полоса вдоль оси
ПГ-0298,—,спиральная,71.18,0.01476,3,1.31,1974,группа ИПК,Отрезок-2,
ПГ-0302,—,спиральная,45.20,0.00948,5,0.81,1960,А. К. Толщин,Отрезок-2,пылевая полоса вдоль оси
ПГ-0304,—,эллиптическая,298.53,0.06238,0,0.69,2022,группа ИПК,Периметр-1,пылевая полоса вдоль оси
ПГ-0307,—,неправильная,219.25,0.04574,0,0.22,2000,И. И. Хордова,Отрезок-3,
ПГ-0310,—,спиральная,37.97,0.00775,5,0.25,2001,С. О. Окружнова,Отрезок-3,координаты уточнены в 2019
ПГ-0311,—,линзовидная,290.63,0.06058,0,4.20,2012,группа ИПК,Отрезок-3,рукава сильно закручены
ПГ-0313,—,спиральная,165.20,0.03449,9,1.35,1982,Б. Г. Эллипсов,Отрезок-3,
ПГ-0314,—,кольцевая,182.50,0.03804,0,1.05,2021,группа ИПК,Отрезок-3М,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0315,—,эллиптическая,83.44,0.01743,0,0.61,1999,Г. Ф. Ромбов,Луч,видна почти с ребра (в 2D — точно с ребра)
ПГ-0322,—,неправильная,12.90,0.00276,0,2.46,1946,А. К. Толщин,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-0324,—,спиральная,25.18,0.00524,3,0.88,1975,Н. И. Хордова,Отрезок-2,пылевая полоса вдоль оси
ПГ-0325,—,эллиптическая,10.73,0.00195,0,1.34,1959,И. П. Хордов,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-0329,—,неправильная,220.57,0.04611,0,0.47,1994,Л. А. Пентагонов,Отрезок-3,координаты уточнены в 2019
ПГ-0330,—,спиральная,62.79,0.01321,3,0.82,1997,Г. Ф. Ромбов,Отрезок-3,
ПГ-0335,—,линзовидная,10.49,0.00220,0,1.69,1932,А. К. Толщин,Отрезок-1,повышенная радиояркость
ПГ-0336,—,неправильная,252.37,0.05296,0,0.23,2012,Г. Ф. Ромбов,Периметр-1,
ПГ-0337,—,кольцевая,170.28,0.03546,0,0.55,1989,Г. Ф. Ромбов,Отрезок-3,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0340,—,эллиптическая,58.31,0.01231,0,0.23,1948,Е. С. Треугольникова,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-0341,—,спиральная,20.47,0.00411,7,1.63,1922,Ф. И. Секущев,Отрезок-1,
ПГ-0343,—,эллиптическая,10.27,0.00221,0,0.70,1896,Ф. И. Секущев,Рефрактор Квадратова,
ПГ-0348,—,спиральная,60.59,0.01263,3,1.38,2000,группа ИПК,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-0349,—,линзовидная,49.61,0.01002,0,0.37,1967,Л. А. Пентагонов,Отрезок-2,двойное ядро
ПГ-0350,—,спиральная,12.88,0.00269,5,0.91,1914,А. Н. Квадратов,Отрезок-1,в паре с соседней
ПГ-0353,—,спиральная,65.87,0.01382,1,0.55,1962,С. Т. Точкин,Луч,
ПГ-0354,Скобка-1,спиральная,89.02,0.01868,3,0.21,1985,группа ИПК,Отрезок-3,
ПГ-0358,—,спиральная,35.41,0.00728,9,0.26,1967,Л. А. Пентагонов,Отрезок-2,компактная
ПГ-0361,—,спиральная,82.18,0.01711,7,0.32,1956,Е. С. Треугольникова,Отрезок-2,
ПГ-0362,—,спиральная,175.10,0.03664,5,1.38,2001,группа ИПК,Отрезок-3,в паре с соседней
ПГ-0365,—,неправильная,178.77,0.03729,0,3.38,2001,группа ИПК,Отрезок-3,
ПГ-0369,—,эллиптическая,154.10,0.03224,0,0.54,2023,М. С. Точкин,Отрезок-3М,"слабая, требует подтверждения"
ПГ-0371,—,спиральная,40.36,0.00850,5,0.20,1987,группа ИПК,Отрезок-3,искажена приливом
ПГ-0376,—,линзовидная,29.29,0.00617,0,2.81,1933,Ф. И. Секущев,Отрезок-1,"слабая, требует подтверждения"
ПГ-0378,—,линзовидная,209.43,0.04391,0,0.76,2020,И. И. Хордова,Отрезок-3М,рукава сильно закручены
ПГ-0379,—,спиральная,49.23,0.01039,5,0.92,1991,Б. Г. Эллипсов,Отрезок-3,в поле обзора ОБХОД-1
ПГ-0385,—,спиральная,7.99,0.00166,9,1.59,1901,А. Н. Квадратов,Рефрактор Квадратова,координаты уточнены в 2019
ПГ-0386,Флюгер-1,эллиптическая,60.22,0.01267,0,0.49,1988,Л. А. Пентагонов,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-0388,—,спиральная,33.06,0.00702,7,1.00,1952,группа ИПК,Отрезок-2,рукава сильно закручены
ПГ-0390,—,кольцевая,86.49,0.01789,0,1.45,2006,группа ИПК,Луч-2,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0391,—,линзовидная,38.53,0.00795,0,0.52,1973,Л. А. Пентагонов,Отрезок-2,рукава сильно закручены
ПГ-0392,—,спиральная,180.22,0.03765,3,0.72,2008,И. И. Хордова,Отрезок-3,координаты уточнены в 2019
ПГ-0393,—,эллиптическая,183.92,0.03835,0,0.61,2018,группа ИПК,Периметр-1,
ПГ-0394,—,спиральная,78.56,0.01631,3,2.91,1988,Б. Г. Эллипсов,Луч,
ПГ-0395,—,спиральная,223.82,0.04676,1,5.75,2015,группа ИПК,Периметр-1,пылевая полоса вдоль оси
ПГ-0400,—,неправильная,178.62,0.03724,0,0.90,2021,группа ИПК,Отрезок-3М,рукава сильно закручены
ПГ-0402,—,спиральная,19.70,0.00408,1,4.14,1919,А. Н. Квадратов,Отрезок-1,
ПГ-0404,—,спиральная,72.35,0.01496,5,1.30,1988,Г. Ф. Ромбов,Отрезок-3,
ПГ-0405,—,спиральная,324.92,0.06777,7,0.70,2020,И. И. Хордова,Периметр-1,видна почти с ребра (в 2D — точно с ребра)
ПГ-0407,—,спиральная,204.94,0.04276,3,0.22,2004,Г. Ф. Ромбов,Отрезок-3,пылевая полоса вдоль оси
ПГ-0416,—,спиральная,23.65,0.00483,3,0.23,1908,А. Н. Квадратов,Рефрактор Квадратова,
ПГ-0420,—,неправильная,43.01,0.00924,0,0.21,1935,И. П. Хордов,Отрезок-2,повышенная радиояркость
ПГ-0422,—,эллиптическая,53.63,0.01133,0,0.48,1937,группа ИПК,Отрезок-2,рукава сильно закручены
ПГ-0423,—,спиральная,23.13,0.00496,5,0.53,1998,Б. Г. Эллипсов,Отрезок-3,пылевая полоса вдоль оси
ПГ-0426,—,неправильная,28.69,0.00603,0,1.24,2003,Г. Ф. Ромбов,Отрезок-3,
ПГ-0427,—,спиральная,82.65,0.01716,5,0.82,2024,группа ИПК,Отрезок-3М,
ПГ-0429,—,эллиптическая,22.71,0.00487,0,0.63,1942,И. П. Хордов,Отрезок-2,
ПГ-0436,—,эллиптическая,10.27,0.00224,0,0.54,1940,Е. С. Треугольникова,Отрезок-2,
ПГ-0446,—,линзовидная,60.19,0.01251,0,0.21,1940,Е. С. Треугольникова,Отрезок-2,двойное ядро
ПГ-0448,—,спиральная,25.55,0.00520,5,0.84,2017,С. О. Окружнова,Отрезок-3М,координаты уточнены в 2019
ПГ-0450,—,кольцевая,368.03,0.07678,0,0.29,2021,группа ИПК,Периметр-1,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0451,—,спиральная,76.76,0.01610,5,1.25,1943,Е. С. Треугольникова,Отрезок-2,
ПГ-0452,—,спиральная,20.22,0.00422,3,0.85,1953,А. К. Толщин,Отрезок-2,сталкивающаяся пара с ПГ-0453; центр масс смещён относительно газа
ПГ-0453,—,эллиптическая,20.31,0.00424,0,0.62,1953,А. К. Толщин,Отрезок-2,сталкивающаяся пара с ПГ-0452
ПГ-0454,—,неправильная,20.22,0.00424,0,0.85,1953,А. К. Толщин,Отрезок-2,повышенная радиояркость
ПГ-0456,—,неправильная,10.59,0.00226,0,2.10,1922,Ф. И. Секущев,Отрезок-1,
ПГ-0460,Штопор-2,неправильная,275.04,0.05760,0,1.16,2012,Г. Ф. Ромбов,Отрезок-3,повышенная радиояркость
ПГ-0461,—,линзовидная,106.36,0.02209,0,2.03,1989,Л. А. Пентагонов,Луч,в поле обзора ОБХОД-1
ПГ-0463,—,спиральная,36.61,0.00754,3,0.59,1950,группа ИПК,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-0465,—,неправильная,179.47,0.03741,0,0.78,2016,И. И. Хордова,Луч-2,координаты уточнены в 2019
ПГ-0468,—,спиральная,10.44,0.00223,9,0.80,1967,Н. И. Хордова,Отрезок-2,
ПГ-0470,—,спиральная,48.80,0.01021,3,0.52,2004,И. И. Хордова,Отрезок-3,
ПГ-0471,—,линзовидная,7.64,0.00164,0,0.88,1920,А. Н. Квадратов,Отрезок-1,двойное ядро
ПГ-0475,—,спиральная,122.96,0.02570,1,0.49,1998,Б. Г. Эллипсов,Отрезок-3,
ПГ-0477,—,спиральная,11.67,0.00238,3,0.63,1957,Е. С. Треугольникова,Отрезок-2,искажена приливом
ПГ-0478,Скобка-2,неправильная,66.15,0.01372,0,0.38,1982,Л. А. Пентагонов,Отрезок-3,"слабая, требует подтверждения"
ПГ-0484,—,спиральная,87.00,0.01808,3,0.44,1960,Е. С. Треугольникова,Отрезок-2,кандидат в кольцевые
ПГ-0485,—,неправильная,6.37,0.00129,0,2.10,1904,Ф. И. Секущев,Рефрактор Квадратова,искажена приливом
ПГ-0492,—,спиральная,28.58,0.00619,7,0.62,1913,А. Н. Квадратов,Отрезок-1,рукава сильно закручены
ПГ-0493,—,спиральная,16.84,0.00333,3,1.59,1913,Ф. И. Секущев,Отрезок-1,
ПГ-0495,—,эллиптическая,21.75,0.00453,0,0.15,1933,А. К. Толщин,Отрезок-1,в поле обзора ОБХОД-1
ПГ-0496,—,эллиптическая,83.78,0.01741,0,1.76,1962,С. Т. Точкин,Луч,
ПГ-0497,—,спиральная,9.18,0.00185,3,0.36,1962,С. Т. Точкин,Луч,
ПГ-0500,—,эллиптическая,48.83,0.01022,0,0.45,1957,группа ИПК,Отрезок-2,координаты уточнены в 2019
ПГ-0502,—,неправильная,201.07,0.04199,0,0.35,1983,группа ИПК,Отрезок-3,
ПГ-0505,—,спиральная,36.67,0.00774,5,0.20,1951,Е. С. Треугольникова,Отрезок-2,
ПГ-0506,—,неправильная,20.02,0.00411,0,0.86,1962,Н. И. Хордова,Луч,компактная
ПГ-0512,Ладья Треугольниковой,линзовидная,27.60,0.00576,0,2.10,1966,Е. С. Треугольникова,Луч,"первая галактика, открытая радиометодом"
ПГ-0517,—,эллиптическая,16.64,0.00335,0,0.78,2019,группа ИПК,Отрезок-3М,
ПГ-0519,—,эллиптическая,147.25,0.03080,0,1.11,1985,Л. А. Пентагонов,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-0522,—,неправильная,12.26,0.00231,0,0.63,1897,Ф. И. Секущев,Рефрактор Квадратова,повышенная радиояркость
ПГ-0528,—,спиральная,97.48,0.02043,3,0.22,1998,группа ИПК,Луч,
ПГ-0531,—,спиральная,14.34,0.00299,1,0.37,2007,Г. Ф. Ромбов,Отрезок-3,
ПГ-0532,—,эллиптическая,393.82,0.08218,0,0.05,2020,С. О. Окружнова,Отрезок-3М,повышенная радиояркость
ПГ-0536,—,эллиптическая,74.37,0.01550,0,1.25,1997,Г. Ф. Ромбов,Отрезок-3,координаты уточнены в 2019
ПГ-0539,—,спиральная,24.65,0.00545,7,0.28,1922,А. К. Толщин,Отрезок-1,двойное ядро
ПГ-0544,—,эллиптическая,188.80,0.03951,0,0.26,1983,группа ИПК,Отрезок-3,в поле обзора ОБХОД-1
