обозначение,название,тип,расстояние_Мпл,красное_смещение_z,число_рукавов,светимость_отн_МЧ,год_открытия,первооткрыватель,инструмент,примечание
ПГ-0821,—,спиральная,3.82,0.00059,5,0.85,1916,А. Н. Квадратов,Отрезок-1,видна почти с ребра (в 2D — точно с ребра)
ПГ-0825,—,спиральная,25.94,0.00554,5,0.25,1912,А. Н. Квадратов,Отрезок-1,
ПГ-0829,—,спиральная,18.50,0.00372,1,0.47,1915,А. Н. Квадратов,Отрезок-1,пылевая полоса вдоль оси
ПГ-0831,—,спиральная,3.88,0.00092,7,0.76,1926,А. К. Толщин,Отрезок-1,
ПГ-0833,—,спиральная,68.21,0.01429,5,2.14,1963,группа ИПК,Отрезок-2,
ПГ-0838,—,спиральная,31.96,0.00645,5,0.99,1996,Г. Ф. Ромбов,Отрезок-3,в паре с соседней
ПГ-0843,—,неправильная,102.64,0.02122,0,1.26,2013,группа ИПК,Отрезок-3,в паре с соседней
ПГ-0852,—,линзовидная,20.30,0.00405,0,3.03,1921,Ф. И. Секущев,Отрезок-1,двойное ядро
ПГ-0854,—,эллиптическая,76.47,0.01603,0,1.18,1992,Б. Г. Эллипсов,Отрезок-3,в паре с соседней
ПГ-0856,—,спиральная,26.00,0.00540,3,1.68,1962,Л. А. Пентагонов,Луч,в поле обзора ОБХОД-1
ПГ-0857,Перо-2,неправильная,224.19,0.04700,0,0.78,1992,Г. Ф. Ромбов,Отрезок-3,"слабая, требует подтверждения"
ПГ-0861,—,спиральная,233.70,0.04894,5,0.16,2003,И. И. Хордова,Отрезок-3,пылевая полоса вдоль оси
ПГ-0862,—,спиральная,27.64,0.00571,1,0.20,1992,Г. Ф. Ромбов,Отрезок-3,в паре с соседней
ПГ-0870,Ромашка-2,спиральная,98.44,0.02059,5,0.38,1978,Н. И. Хордова,Отрезок-3,рукава сильно закручены
ПГ-0872,—,спиральная,207.35,0.04343,5,0.52,1986,Б. Г. Эллипсов,Отрезок-3,повышенная радиояркость
ПГ-0875,—,линзовидная,12.07,0.00236,0,0.79,1940,А. К. Толщин,Отрезок-2,в поле обзора ОБХОД-1
ПГ-0876,Серп-2,спиральная,145.82,0.03064,1,2.67,2023,С. О. Окружнова,Отрезок-3М,
ПГ-0877,—,спиральная,237.90,0.04951,3,1.12,2002,И. И. Хордова,Отрезок-3,искажена приливом
ПГ-0881,—,спиральная,130.15,0.02713,5,0.78,1985,группа ИПК,Отрезок-3,
ПГ-0882,—,неправильная,17.10,0.00342,0,0.56,1934,Ф. И. Секущев,Отрезок-2,
ПГ-0883,—,спиральная,73.93,0.01560,1,0.32,2018,И. И. Хордова,Отрезок-3М,искажена приливом
ПГ-0887,—,спиральная,19.33,0.00386,5,1.27,1925,И. П. Хордов,Отрезок-1,повышенная радиояркость
ПГ-0891,—,спиральная,17.03,0.00340,3,0.59,1904,А. Н. Квадратов,Рефрактор Квадратова,видна почти с ребра (в 2D — точно с ребра)
ПГ-0892,—,спиральная,6.01,0.00139,1,1.32,1962,группа ИПК,Луч,в поле обзора ОБХОД-1
ПГ-0894,—,эллиптическая,7.49,0.00173,0,1.86,1978,группа ИПК,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-0895,—,спиральная,12.67,0.00266,3,0.31,1947,Е. С. Треугольникова,Отрезок-2,"слабая, требует подтверждения"
ПГ-0898,—,кольцевая,27.99,0.00589,0,0.53,1921,И. П. Хордов,Отрезок-1,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0902,—,спиральная,53.57,0.01141,1,1.48,1965,группа ИПК,Отрезок-2,рукава сильно закручены
ПГ-0905,—,спиральная,4.13,0.00084,7,2.02,1910,Ф. И. Секущев,Рефрактор Квадратова,пылевая полоса вдоль оси
ПГ-0908,—,спиральная,47.23,0.00994,1,0.24,1951,группа ИПК,Отрезок-2,
ПГ-0910,Лопасть-1,спиральная,203.99,0.04272,3,0.59,1995,Г. Ф. Ромбов,Луч,
ПГ-0919,—,линзовидная,89.58,0.01871,0,0.34,2003,С. О. Окружнова,Отрезок-3,координаты уточнены в 2019
ПГ-0924,—,спиральная,12.70,0.00260,3,0.91,1928,А. К. Толщин,Отрезок-1,координаты уточнены в 2019
ПГ-0927,—,эллиптическая,31.83,0.00671,0,0.69,1962,группа ИПК,Луч,в паре с соседней
ПГ-0928,—,спиральная,11.61,0.00234,3,1.77,1897,Ф. И. Секущев,Рефрактор Квадратова,двойное ядро
ПГ-0929,—,линзовидная,41.96,0.00868,0,1.56,1966,Е. С. Треугольникова,Отрезок-2,рукава сильно закручены
ПГ-0930,—,эллиптическая,243.51,0.05085,0,0.44,2004,группа ИПК,Отрезок-3,в поле обзора ОБХОД-1
ПГ-0931,—,эллиптическая,63.19,0.01305,0,0.93,1960,Е. С. Треугольникова,Отрезок-2,повышенная радиояркость
ПГ-0932,Зигзаг-3,неправильная,53.50,0.01120,0,0.69,2021,И. И. Хордова,Луч-2,повышенная радиояркость
ПГ-0934,—,спиральная,89.91,0.01854,1,0.60,1947,Е. С. Треугольникова,Отрезок-2,искажена приливом
ПГ-0935,—,линзовидная,66.03,0.01348,0,0.33,1960,Е. С. Треугольникова,Отрезок-2,компактная
ПГ-0936,—,эллиптическая,78.08,0.01622,0,1.12,1962,Н. И. Хордова,Луч,искажена приливом
ПГ-0937,—,спиральная,8.67,0.00203,9,3.07,1918,А. Н. Квадратов,Отрезок-1,искажена приливом
ПГ-0944,—,спиральная,103.06,0.02140,5,4.01,1995,группа ИПК,Отрезок-3,пылевая полоса вдоль оси
ПГ-0946,—,эллиптическая,21.91,0.00433,0,0.18,1962,С. Т. Точкин,Луч,в поле обзора ОБХОД-1
ПГ-0947,—,линзовидная,35.68,0.00753,0,0.52,1968,группа ИПК,Отрезок-2,двойное ядро
ПГ-0948,Серп-3,линзовидная,42.73,0.00903,0,0.85,1969,Е. С. Треугольникова,Луч,пылевая полоса вдоль оси
ПГ-0950,—,эллиптическая,71.17,0.01480,0,1.46,2009,Б. Г. Эллипсов,Отрезок-3,компактная
ПГ-0952,—,неправильная,229.36,0.04791,0,1.24,2024,С. О. Окружнова,Отрезок-3М,
ПГ-0953,—,эллиптическая,78.08,0.01617,0,1.16,1959,А. К. Толщин,Отрезок-2,рукава сильно закручены
ПГ-0955,—,спиральная,158.15,0.03303,1,0.84,1997,группа ИПК,Отрезок-3,
ПГ-0956,—,спиральная,15.78,0.00311,3,2.09,1998,группа ИПК,Отрезок-3,в паре с соседней
ПГ-0958,—,линзовидная,239.07,0.04985,0,0.62,1992,Б. Г. Эллипсов,Отрезок-3,в паре с соседней
ПГ-0962,—,спиральная,25.32,0.00549,9,0.27,1935,Ф. И. Секущев,Отрезок-2,рукава сильно закручены
ПГ-0964,—,спиральная,17.81,0.00382,3,0.13,1962,С. Т. Точкин,Луч,видна почти с ребра (в 2D — точно с ребра)
ПГ-0969,—,неправильная,125.72,0.02620,0,0.07,1990,группа ИПК,Отрезок-3,"слабая, требует подтверждения"
ПГ-0973,—,спиральная,31.72,0.00660,3,0.62,1999,группа ИПК,Отрезок-3,кандидат в кольцевые
ПГ-0976,—,неправильная,29.09,0.00597,0,0.27,1938,Е. С. Треугольникова,Отрезок-2,компактная
ПГ-0979,—,спиральная,168.76,0.03510,9,0.76,1999,И. И. Хордова,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-0980,—,спиральная,186.65,0.03897,3,2.51,1988,Б. Г. Эллипсов,Отрезок-3,
ПГ-0982,—,спиральная,25.80,0.00541,7,0.97,1986,Л. А. Пентагонов,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-0992,—,спиральная,5.87,0.00142,7,0.62,1937,группа ИПК,Отрезок-2,искажена приливом
ПГ-0994,—,спиральная,15.36,0.00301,7,8.81,1927,А. К. Толщин,Отрезок-1,
ПГ-0995,Гребёнка-2,кольцевая,201.28,0.04207,0,3.67,1991,Л. А. Пентагонов,Отрезок-3,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0996,—,спиральная,32.86,0.00695,5,0.96,1966,Л. А. Пентагонов,Луч,
ПГ-0997,—,спиральная,42.20,0.00861,5,1.71,1964,С. Т. Точкин,Луч,"слабая, требует подтверждения"
ПГ-0999,Последний Штрих,эллиптическая,402.70,0.08404,0,6.80,2014,И. И. Хордова,Периметр-1,наиболее удалённый объект каталога
ПГ-1000,Зигзаг-4,спиральная,87.40,0.01822,3,1.03,1962,Л. А. Пентагонов,Луч,
ПГ-1001,—,спиральная,7.13,0.00139,5,0.17,1948,А. К. Толщин,Отрезок-2,пылевая полоса вдоль оси
ПГ-1004,—,эллиптическая,95.61,0.01990,0,1.01,2016,группа ИПК,Отрезок-3М,повышенная радиояркость
ПГ-1008,—,неправильная,74.00,0.01526,0,1.21,1970,Л. А. Пентагонов,Отрезок-2,в паре с соседней
ПГ-1009,—,спиральная,111.10,0.02336,3,0.33,2022,группа ИПК,Луч-2,
ПГ-1010,—,спиральная,32.47,0.00677,1,1.96,1997,Л. А. Пентагонов,Отрезок-3,
ПГ-1012,Перо-3,неправильная,25.42,0.00533,0,2.36,2015,группа ИПК,Отрезок-3М,искажена приливом
ПГ-1013,—,спиральная,284.07,0.05908,3,1.20,2011,группа ИПК,Периметр-1,видна почти с ребра (в 2D — точно с ребра)
ПГ-1019,—,спиральная,5.33,0.00117,1,1.01,1929,Ф. И. Секущев,Отрезок-1,двойное ядро
ПГ-1022,—,эллиптическая,89.68,0.01866,0,0.38,1948,И. П. Хордов,Отрезок-2,искажена приливом
ПГ-1023,—,эллиптическая,80.96,0.01685,0,0.33,1980,Б. Г. Эллипсов,Отрезок-3,компактная
ПГ-1024,—,эллиптическая,114.80,0.02398,0,0.43,2020,М. С. Точкин,Отрезок-3М,
ПГ-1031,Скрепка-2,спиральная,21.36,0.00435,5,0.48,1980,Г. Ф. Ромбов,Отрезок-3,
ПГ-1032,—,линзовидная,226.02,0.04711,0,0.46,2001,группа ИПК,Отрезок-3,
ПГ-1034,—,спиральная,20.56,0.00421,5,0.31,1895,А. Н. Квадратов,Рефрактор Квадратова,
ПГ-1036,—,эллиптическая,166.42,0.03474,0,0.71,2006,С. О. Окружнова,Отрезок-3,координаты уточнены в 2019
ПГ-1038,—,линзовидная,42.75,0.00892,0,0.27,1937,А. К. Толщин,Отрезок-2,
ПГ-1040,—,спиральная,86.67,0.01810,5,0.91,2019,обзор ОБХОД-1,Периметр-1,координаты уточнены в 2019
ПГ-1041,—,эллиптическая,74.73,0.01557,0,1.01,1941,А. К. Толщин,Отрезок-2,"слабая, требует подтверждения"
ПГ-1045,—,неправильная,65.85,0.01371,0,0.33,1962,Л. А. Пентагонов,Отрезок-2,повышенная радиояркость
ПГ-1046,—,линзовидная,68.16,0.01431,0,1.11,1959,И. П. Хордов,Отрезок-2,
ПГ-1048,—,линзовидная,24.04,0.00497,0,0.34,1972,Е. С. Треугольникова,Отрезок-2,рукава сильно закручены
ПГ-1049,—,кольцевая,59.56,0.01258,0,1.29,1992,Б. Г. Эллипсов,Отрезок-3,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-1050,—,спиральная,238.13,0.04962,7,0.32,2015,С. О. Окружнова,Отрезок-3М,кандидат в кольцевые
ПГ-1056,—,линзовидная,77.95,0.01610,0,1.14,1998,И. И. Хордова,Отрезок-3,рукава сильно закручены
ПГ-1058,—,эллиптическая,36.98,0.00770,0,0.67,1938,Е. С. Треугольникова,Отрезок-2,координаты уточнены в 2019
ПГ-1062,—,кольцевая,45.37,0.00949,0,0.70,2010,И. И. Хордова,Отрезок-3,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-1064,Запятая-2,спиральная,75.87,0.01598,3,1.03,2003,группа ИПК,Отрезок-3,"слабая, требует подтверждения"
ПГ-1065,—,спиральная,68.61,0.01429,3,1.47,1994,Г. Ф. Ромбов,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-1066,—,спиральная,107.63,0.02255,9,0.48,2013,Б. Г. Эллипсов,Луч-2,компактная
ПГ-1068,—,спиральная,33.22,0.00696,9,0.83,1943,А. К. Толщин,Отрезок-2,
ПГ-1070,—,спиральная,37.35,0.00789,3,0.51,1979,группа ИПК,Луч,
ПГ-1074,—,спиральная,228.04,0.04742,3,2.33,2006,И. И. Хордова,Отрезок-3,пылевая полоса вдоль оси
ПГ-1075,—,спиральная,28.89,0.00583,1,1.46,1958,группа ИПК,Отрезок-2,
ПГ-1083,—,спиральная,233.22,0.04868,3,0.51,2000,С. О. Окружнова,Отрезок-3,компактная
ПГ-1085,—,спиральная,7.04,0.00139,1,0.93,2001,группа ИПК,Отрезок-3,
ПГ-1086,—,линзовидная,50.89,0.01067,0,2.99,1962,группа ИПК,Луч,в паре с соседней
ПГ-1088,—,спиральная,65.24,0.01364,5,1.94,1964,Н. И. Хордова,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-1089,—,неправильная,82.60,0.01721,0,0.50,1953,Е. С. Треугольникова,Отрезок-2,рукава сильно закручены
ПГ-1090,—,неправильная,55.11,0.01154,0,0.40,1985,Л. А. Пентагонов,Отрезок-3,
ПГ-1093,—,спиральная,51.48,0.01072,5,1.54,1964,группа ИПК,Отрезок-2,
ПГ-1094,—,спиральная,165.81,0.03442,5,0.45,1987,Л. А. Пентагонов,Отрезок-3,повышенная радиояркость
ПГ-1096,—,спиральная,180.62,0.03767,3,1.16,2011,группа ИПК,Периметр-1,кандидат в кольцевые
ПГ-1098,—,эллиптическая,79.33,0.01653,0,12.55,1951,И. П. Хордов,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-1101,—,эллиптическая,25.67,0.00539,0,0.13,2004,группа ИПК,Отрезок-3,пылевая полоса вдоль оси
ПГ-1108,—,спиральная,69.06,0.01430,3,0.15,2007,Г. Ф. Ромбов,Отрезок-3,
ПГ-1115,—,эллиптическая,25.28,0.00517,0,1.39,1996,Л. А. Пентагонов,Отрезок-3,пылевая полоса вдоль оси
ПГ-1117,—,эллиптическая,70.54,0.01475,0,0.45,1962,С. Т. Точкин,Луч,пылевая полоса вдоль оси
ПГ-1119,—,спиральная,58.38,0.01219,7,0.66,1984,Л. А. Пентагонов,Отрезок-3,
ПГ-1121,—,спиральная,188.07,0.03921,3,0.08,2007,С. О. Окружнова,Отрезок-3,компактная
ПГ-1122,—,эллиптическая,300.13,0.06257,0,0.89,2012,И. И. Хордова,Отрезок-3,
ПГ-1124,—,спиральная,68.30,0.01439,3,0.79,1965,группа ИПК,Отрезок-2,рукава сильно закручены
ПГ-1127,—,эллиптическая,27.77,0.00567,0,1.10,2009,группа ИПК,Отрезок-3,"слабая, требует подтверждения"
ПГ-1135,—,эллиптическая,26.25,0.00543,0,2.36,1914,Ф. И. Секущев,Отрезок-1,
ПГ-1138,—,спиральная,19.96,0.00419,5,0.96,1962,С. Т. Точкин,Луч,
ПГ-1139,—,эллиптическая,88.21,0.01848,0,0.91,1999,Б. Г. Эллипсов,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-1143,—,спиральная,238.68,0.04976,7,0.73,2016,И. И. Хордова,Периметр-1,компактная
ПГ-1144,—,спиральная,63.59,0.01329,3,0.36,2002,С. О. Окружнова,Отрезок-3,
ПГ-1148,—,эллиптическая,85.08,0.01779,0,1.72,1954,Е. С. Треугольникова,Отрезок-2,в паре с соседней
ПГ-1152,—,неправильная,3.34,0.00091,0,0.06,1921,А. К. Толщин,Отрезок-1,
ПГ-1153,—,спиральная,23.05,0.00497,3,0.06,2004,И. И. Хордова,Отрезок-3,компактная
ПГ-1155,—,неправильная,154.91,0.03258,0,1.08,1979,группа ИПК,Отрезок-3,
ПГ-1158,—,спиральная,95.34,0.01990,9,1.08,2014,Г. Ф. Ромбов,Отрезок-3М,компактная
ПГ-1161,—,спиральная,213.46,0.04460,1,1.35,2021,группа ИПК,Отрезок-3М,двойное ядро
ПГ-1163,—,неправильная,97.62,0.02047,0,0.98,2009,С. О. Окружнова,Отрезок-3,
ПГ-1167,—,спиральная,48.27,0.01038,3,0.55,1991,Б. Г. Эллипсов,Отрезок-3,двойное ядро
ПГ-1170,—,неправильная,161.63,0.03368,0,0.23,2017,И. И. Хордова,Периметр-1,
ПГ-1173,—,спиральная,79.24,0.01688,5,0.56,2004,Г. Ф. Ромбов,Отрезок-3,
ПГ-1175,—,спиральная,50.68,0.01059,1,1.17,2013,С. О. Окружнова,Периметр-1,в паре с соседней
ПГ-1176,Пропеллер-1,спиральная,154.10,0.03203,9,0.64,2007,И. И. Хордова,Отрезок-3,двойное ядро
ПГ-1177,—,спиральная,67.86,0.01422,3,0.27,2008,И. И. Хордова,Отрезок-3,рукава сильно закручены
ПГ-1179,—,спиральная,245.84,0.05141,5,1.22,1992,Л. А. Пентагонов,Отрезок-3,пылевая полоса вдоль оси
ПГ-1180,—,линзовидная,110.20,0.02297,0,1.17,1997,группа ИПК,Отрезок-3,в поле обзора ОБХОД-1
ПГ-1182,—,спиральная,24.78,0.00509,3,1.15,1923,А. К. Толщин,Отрезок-1,координаты уточнены в 2019
ПГ-1183,—,спиральная,388.94,0.08086,3,0.87,2015,И. И. Хордова,Периметр-1,"слабая, требует подтверждения"
ПГ-1185,—,эллиптическая,19.68,0.00408,0,0.93,1931,А. К. Толщин,Отрезок-1,
ПГ-1188,Улитка-2,спиральная,9.82,0.00213,3,0.06,1926,Ф. И. Секущев,Отрезок-1,
ПГ-1189,—,эллиптическая,78.32,0.01640,0,0.64,1952,И. П. Хордов,Отрезок-2,
ПГ-1192,—,неправильная,15.54,0.00339,0,4.06,1948,А. К. Толщин,Отрезок-2,кандидат в кольцевые
ПГ-1194,—,спиральная,24.14,0.00513,1,0.69,1938,Е. С. Треугольникова,Отрезок-2,координаты уточнены в 2019
ПГ-1197,—,спиральная,32.87,0.00677,5,0.41,2006,группа ИПК,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-1198,—,эллиптическая,18.16,0.00367,0,3.99,1957,А. К. Толщин,Отрезок-2,
ПГ-1203,—,неправильная,39.67,0.00811,0,0.46,1968,Н. И. Хордова,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-1207,—,спиральная,149.07,0.03118,1,0.50,1995,Л. А. Пентагонов,Отрезок-3,искажена приливом
ПГ-1210,—,спиральная,5.79,0.00102,9,0.13,1986,Б. Г. Эллипсов,Луч,кандидат в кольцевые
ПГ-1211,—,эллиптическая,173.05,0.03613,0,0.75,2007,И. И. Хордова,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-1214,—,неправильная,56.34,0.01176,0,0.60,1962,Н. И. Хордова,Луч,координаты уточнены в 2019
ПГ-1215,—,спиральная,77.73,0.01625,9,0.46,1967,Л. А. Пентагонов,Отрезок-2,
ПГ-1218,—,линзовидная,105.20,0.02208,0,0.91,2024,И. И. Хордова,Луч-2,
ПГ-1219,—,спиральная,49.80,0.01039,9,1.62,2002,И. И. Хордова,Отрезок-3,
ПГ-1222,—,линзовидная,174.89,0.03672,0,0.23,2013,Г. Ф. Ромбов,Периметр-1,
ПГ-1227,—,спиральная,18.18,0.00386,3,0.51,1914,А. Н. Квадратов,Отрезок-1,рукава сильно закручены
ПГ-1229,—,спиральная,19.78,0.00392,1,0.66,1969,группа ИПК,Отрезок-2,в паре с соседней
ПГ-1235,—,спиральная,62.65,0.01320,3,7.97,1979,Г. Ф. Ромбов,Отрезок-3,
ПГ-1236,—,спиральная,238.98,0.05006,3,0.44,2008,С. О. Окружнова,Отрезок-3,"слабая, требует подтверждения"
ПГ-1237,—,линзовидная,23.73,0.00493,0,2.38,1994,Г. Ф. Ромбов,Отрезок-3,двойное ядро
ПГ-1240,—,спиральная,37.10,0.00771,7,0.45,1988,группа ИПК,Отрезок-3,"слабая, требует подтверждения"
ПГ-1242,—,неправильная,76.39,0.01587,0,0.49,1953,Е. С. Треугольникова,Отрезок-2,пылевая полоса вдоль оси
ПГ-1246,—,спиральная,33.98,0.00723,7,3.86,2003,С. О. Окружнова,Луч,
ПГ-1249,—,кольцевая,6.21,0.00143,0,1.48,1958,группа ИПК,Отрезок-2,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-1250,—,спиральная,14.49,0.00283,9,0.39,1908,Ф. И. Секущев,Рефрактор Квадратова,
ПГ-1251,—,спиральная,118.20,0.02462,3,1.56,2016,обзор ОБХОД-1,Отрезок-3М,в поле обзора ОБХОД-1
ПГ-1253,—,неправильная,11.88,0.00251,0,0.26,1959,группа ИПК,Отрезок-2,
ПГ-1256,—,неправильная,224.07,0.04693,0,0.05,2005,С. О. Окружнова,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-1261,—,спиральная,76.38,0.01573,9,0.37,1935,А. К. Толщин,Отрезок-2,кандидат в кольцевые
ПГ-1262,—,неправильная,84.64,0.01776,0,0.75,1962,С. Т. Точкин,Луч,в паре с соседней
ПГ-1265,—,спиральная,76.85,0.01596,5,0.16,1965,С. Т. Точкин,Отрезок-2,кандидат в кольцевые
ПГ-1267,—,неправильная,194.04,0.04055,0,6.09,2000,Б. Г. Эллипсов,Отрезок-3,
ПГ-1270,—,линзовидная,24.76,0.00516,0,1.10,1917,Ф. И. Секущев,Отрезок-1,
ПГ-1272,—,спиральная,94.79,0.01957,9,0.48,1992,Б. Г. Эллипсов,Отрезок-3,
ПГ-1277,—,спиральная,24.14,0.00495,5,1.22,2008,Г. Ф. Ромбов,Отрезок-3,кандидат в кольцевые
ПГ-1278,Перо-4,эллиптическая,3.90,0.00086,0,0.14,1962,Е. С. Треугольникова,Луч,кандидат в кольцевые
ПГ-1280,—,спиральная,71.39,0.01479,3,4.59,1987,Л. А. Пентагонов,Отрезок-3,координаты уточнены в 2019
ПГ-1284,—,спиральная,150.92,0.03151,7,0.52,2016,группа ИПК,Отрезок-3М,
ПГ-1286,—,эллиптическая,12.77,0.00262,0,0.55,1992,Б. Г. Эллипсов,Отрезок-3,компактная
ПГ-1287,—,спиральная,25.73,0.00529,1,1.47,1947,И. П. Хордов,Отрезок-2,кандидат в кольцевые
ПГ-1288,—,кольцевая,108.47,0.02259,0,0.22,2008,Г. Ф. Ромбов,Отрезок-3,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-1292,—,эллиптическая,33.80,0.00702,0,1.39,1963,Н. И. Хордова,Отрезок-2,
ПГ-1294,Ромашка-3,спиральная,6.00,0.00122,1,2.87,1910,Ф. И. Секущев,Рефрактор Квадратова,кандидат в кольцевые
ПГ-1295,—,спиральная,194.34,0.04048,5,1.82,2006,И. И. Хордова,Отрезок-3,
